,Unnamed: 0.1,Unnamed: 0,age,gender,race,prediction
0,0,1,6,0,0,1
1,1,3,3,0,5,1
2,2,10,8,0,0,1
3,3,11,6,0,0,1
4,4,12,5,0,1,1
5,5,14,4,0,5,1
6,6,17,3,0,3,1
7,7,19,5,0,4,0
8,8,22,4,0,3,1
9,9,23,2,0,0,1
10,10,24,3,0,5,1
11,11,25,4,0,5,1
12,12,26,3,0,5,1
13,13,27,3,0,6,1
14,14,28,1,0,0,1
15,15,29,4,0,5,0
16,16,30,1,0,1,1
17,17,31,5,0,1,1
18,18,35,6,0,2,1
19,19,39,6,0,1,1
20,20,41,3,0,1,1
21,21,42,3,0,5,0
22,22,43,4,0,5,1
23,23,47,3,0,3,1
24,24,49,3,0,3,1
25,25,56,5,0,0,1
26,26,58,4,0,3,1
27,27,59,2,0,6,1
28,28,62,1,0,3,1
29,29,65,4,0,5,1
30,30,66,5,0,3,1
31,31,67,1,0,3,1
32,32,72,3,0,5,1
33,33,73,4,0,1,0
34,34,76,5,0,5,1
35,35,78,1,0,4,1
36,36,79,4,0,2,1
37,37,82,4,0,3,1
38,38,84,1,0,3,1
39,39,90,2,0,1,1
40,40,92,3,0,1,1
41,41,93,6,0,5,1
42,42,94,6,0,0,1
43,43,96,6,0,1,1
44,44,99,3,0,0,1
45,45,100,4,0,0,1
46,46,101,3,0,0,1
47,47,104,5,0,4,1
48,48,105,3,0,2,1
49,49,107,2,0,2,1
50,50,111,4,0,1,1
51,51,113,4,0,5,1
52,52,115,2,0,3,1
53,53,117,4,0,1,1
54,54,119,3,0,2,1
55,55,120,3,0,6,1
56,56,122,3,0,4,1
57,57,124,1,0,2,1
58,58,126,3,0,0,1
59,59,129,4,0,0,1
60,60,130,2,0,6,1
61,61,132,3,0,6,1
62,62,133,4,0,5,1
63,63,134,6,0,6,1
64,64,135,5,0,1,1
65,65,137,3,0,0,1
66,66,138,5,0,5,0
67,67,141,3,0,3,1
68,68,142,3,0,2,1
69,69,144,1,0,2,1
70,70,148,3,0,6,1
71,71,150,3,0,6,1
72,72,152,1,0,5,1
73,73,154,2,0,2,1
74,74,155,7,0,2,1
75,75,157,3,0,3,1
76,76,158,3,0,3,1
77,77,160,4,0,4,1
78,78,166,2,0,2,1
79,79,167,3,0,4,1
80,80,169,3,0,0,1
81,81,170,4,0,2,1
82,82,171,3,0,5,1
83,83,174,2,0,4,1
84,84,175,2,0,3,1
85,85,180,2,0,5,1
86,86,182,4,0,6,1
87,87,183,1,0,2,1
88,88,185,6,0,3,1
89,89,187,1,0,2,1
90,90,189,4,0,2,1
91,91,195,1,0,4,0
92,92,197,2,0,2,0
93,93,199,2,0,3,1
94,94,200,4,0,0,1
95,95,204,2,0,0,1
96,96,208,3,0,3,1
97,97,212,3,0,5,1
98,98,214,1,0,5,1
99,99,215,2,0,0,1
100,100,216,1,0,2,1
101,101,217,3,0,2,1
102,102,218,2,0,0,1
103,103,220,7,0,2,1
104,104,222,2,0,3,1
105,105,226,5,0,5,1
106,106,227,5,0,6,1
107,107,228,1,0,5,1
108,108,229,4,0,2,1
109,109,231,5,0,3,1
110,110,235,4,0,5,1
111,111,237,2,0,0,1
112,112,238,4,0,4,1
113,113,242,7,0,2,0
114,114,248,3,0,0,1
115,115,251,1,0,2,1
116,116,252,3,0,0,1
117,117,253,4,0,3,1
118,118,254,4,0,6,1
119,119,256,5,0,4,1
120,120,257,0,0,1,1
121,121,258,4,0,1,1
122,122,259,5,0,2,1
123,123,260,5,0,5,1
124,124,261,4,0,0,1
125,125,263,3,0,0,1
126,126,264,3,0,1,0
127,127,266,1,0,0,1
128,128,269,4,0,1,1
129,129,272,3,0,4,1
130,130,275,4,0,2,0
131,131,276,2,0,5,1
132,132,277,1,0,1,1
133,133,279,5,0,5,1
134,134,280,4,0,2,1
135,135,283,7,0,6,1
136,136,285,3,0,3,1
137,137,287,7,0,0,1
138,138,288,3,0,3,1
139,139,290,4,0,5,1
140,140,291,3,0,6,1
141,141,292,7,0,3,1
142,142,295,3,0,6,1
143,143,296,3,0,2,1
144,144,297,5,0,5,1
145,145,301,3,0,6,1
146,146,307,3,0,3,1
147,147,310,3,0,5,1
148,148,314,4,0,0,1
149,149,316,3,0,6,1
150,150,317,2,0,1,1
151,151,321,4,0,3,1
152,152,322,6,0,3,1
153,153,324,1,0,5,0
154,154,325,5,0,2,1
155,155,327,3,0,1,1
156,156,328,2,0,6,1
157,157,329,1,0,2,1
158,158,330,1,0,3,1
159,159,332,6,0,0,1
160,160,333,0,0,3,1
161,161,337,5,0,2,1
162,162,339,3,0,2,1
163,163,342,2,0,2,1
164,164,343,6,0,3,1
165,165,344,5,0,4,1
